$title=クロススォード
$pre=fd
$stop=03
$start
02 NEO-GEO Logo
04 クロスソード序
09 マップ
19 ステージセレクト
07 閑村ディオの異変
0b 強敵
0f クリア
08 商人ラオスタ
17 道標
0a パリウスタ城震撼
18 老人
0c 憤戦マティウスの塔
05 恐怖
06 ティーヌ
14 デスマスカレード
10 ゴーダ砦の怪魚
1d 地を這う者
0d 強襲陸上戦艦
1c バクスレイ
0e リアリの洞窟
1e 老戦士
1b 焦り
1a 魔城グレイシア
16 ナウシズ
13 遠雷
1f クローレ
11 回想
12 ゲームオーバー
23 魔城グレイシア  (別バージョン)
$end
